com.mycompany.imagej.ops.parallel.ThreadedParallel,3,7,0,233416
com.mycompany.imagej.ops.parallel.ThreadedParallel,1,7,0,234459
com.mycompany.imagej.ops.parallel.ThreadedParallel,4,7,0,235214
com.mycompany.imagej.ops.parallel.ThreadedParallel,2,7,0,237131
com.mycompany.imagej.ops.parallel.ThreadedParallel,5,7,0,241214
com.mycompany.imagej.ops.parallel.ThreadedParallel,6,7,0,243902
barrier,3,7,0,10596
barrier,5,7,0,2767
barrier,1,7,0,9437
barrier,6,7,0,60
barrier,2,7,0,6913
barrier,0,7,0,23788
barrier,4,7,0,8858
gather,4,7,0,695
com.mycompany.imagej.ops.parallel.Parallel,4,7,0,244871
net.imagej.ops.Ops.Filter.Max,4,7,0,244906
total_op,4,7,0,245300
gather,5,7,0,1060
com.mycompany.imagej.ops.parallel.Parallel,5,7,0,245112
net.imagej.ops.Ops.Filter.Max,5,7,0,245149
total_op,5,7,0,245579
gather,6,7,0,1071
gather,2,7,0,1060
com.mycompany.imagej.ops.parallel.Parallel,6,7,0,245124
com.mycompany.imagej.ops.parallel.Parallel,2,7,0,245205
net.imagej.ops.Ops.Filter.Max,6,7,0,245183
net.imagej.ops.Ops.Filter.Max,2,7,0,245264
total_op,6,7,0,245640
total_op,2,7,0,245748
gather,0,7,0,1239
com.mycompany.imagej.ops.parallel.Parallel,0,7,0,245461
net.imagej.ops.Ops.Filter.Max,0,7,0,245497
total_op,0,7,0,245977
gather,3,7,0,1457
com.mycompany.imagej.ops.parallel.Parallel,3,7,0,245524
net.imagej.ops.Ops.Filter.Max,3,7,0,245560
total_op,3,7,0,246084
gather,1,7,0,1543
com.mycompany.imagej.ops.parallel.Parallel,1,7,0,245522
net.imagej.ops.Ops.Filter.Max,1,7,0,245557
total_op,1,7,0,245987
write,0,7,1,8642
read,1,6,0,3458
read,3,6,0,3470
read,4,6,0,3477
read,5,6,0,3537
read,0,6,0,3545
read,2,6,0,3584
net.imagej.ops.Ops.Create.Img,3,6,0,392
net.imagej.ops.Ops.Create.Img,1,6,0,416
net.imagej.ops.Ops.Create.Img,4,6,0,381
net.imagej.ops.Ops.Create.Img,0,6,0,369
net.imagej.ops.Ops.Create.Img,5,6,0,454
net.imagej.ops.Ops.Create.Img,2,6,0,419
com.mycompany.imagej.ops.parallel.ThreadedParallel,4,6,0,233154
com.mycompany.imagej.ops.parallel.ThreadedParallel,2,6,0,273786
com.mycompany.imagej.ops.parallel.ThreadedParallel,3,6,0,247290
com.mycompany.imagej.ops.parallel.ThreadedParallel,0,6,0,255883
com.mycompany.imagej.ops.parallel.ThreadedParallel,1,6,0,275370
com.mycompany.imagej.ops.parallel.ThreadedParallel,5,6,0,279669
barrier,2,6,0,152
